Code,Name,SKU,Category,Brand,Price
"P-ALU-SLP-26239-09","2"" Heavy Sliding Frame Profile","AL-SLP-2H-6000","Aluminium Profiles","—","1850"
"P-GLS-CTG-26239-13","5mm Clear Toughened Glass","GL-CLR-TGH-5","Glass Sheets","—","850"
"P-FIN-PRD-26240-01","Aluminium Sliding Window (4x3 ft)","","Finished Windows & Doors","—","15000"
"P-FIN-PRD-26240-02","Aluminium Casement Door (3x7 ft)","","Finished Windows & Doors","—","25000"
"P-ACC-PRD-26240-03","Window Handle Set (Stainless Steel)","","Accessories & Hardware","—","450"
"P-ACC-PRD-26240-04","Door Lock Set (Heavy Duty)","","Accessories & Hardware","—","1200"
"P-ACC-PRD-26240-05","Rubber Gasket Roll (Black)","","Accessories & Hardware","—","85"
"P-ACC-PRD-26240-06","Glass Shelf Bracket (Aluminium)","","Accessories & Hardware","—","350"
"P-FIN-PRD-26240-07","Fixed Glass Window (3x2 ft)","","Finished Windows & Doors","—","8000"
"P-ACC-PRD-26240-08","Sliding Door Roller Set","","Accessories & Hardware","—","1800"
